EcoID,Crop,CommonName,SearchScientName,ScientNameClean,Family,MonfredaFileName,MonfredaCropName,Search,GROUP,TOPMN,TOPMX,TMIN,TMAX,ROPMN,ROPMX,RMIN,RMAX,KTMP,GMIN,GMAX,Comment,Selected
1112,strawberry,Garden strawberry,Fragaria,Fragaria x ananassa,Rosaceae,strawberry,Strawberries,strawberry,fruit,11,24,6,28,600,900,300,1700,0,180,270,,0
1150,soybean,Soyabean,Glycine,Glycine max,Fabaceae,soybean,Soybeans,soybean,oil crops,20,33,10,38,600,1500,450,1800,0,75,180,,0
1191,sunflower,Sunflower,Helianthus,Helianthus annuus,Compositae,sunflower,Sunflower Seed,sunflower,oil crops,17,34,5,45,600,1000,300,1600,0,70,200,,0
1232,barley,Barley,Hordeum,Hordeum vulgare,Gramineae,barley,Barley,barley,cereals,15,20,2,40,500,1000,200,2000,0,90,240,,0
1265,sweetpotato,Sweet potato,Ipomoea,Ipomoea batatas,Convolvulaceae,sweetpotato,Sweet Potatoes,sweetpotato,roots and tubers,18,28,10,38,750,2000,350,5000,5,80,170,,1
1313,lettuce,Lettuce,Lactuca,Lactuca sativa var. capitata,Compositae,lettuce,Lettuce,lettuce,vegetables,12,21,5,30,1100,1400,900,4100,0,35,85,,0
1379,tomato,Tomato,lycopersicon,Lycopersicon esculentum,Solanaceae,tomato,Tomatoes,tomato,vegetables,20,27,7,35,600,1300,400,1800,0,70,150,,0
1407,apple,Apple,Malus,Malus domestica,Rosaceae,apple,Apples,apple,fruit,14,27,8,33,700,2500,500,3200,-2,180,320,,0
1416,mango,Mango,Mangifera,Mangifera indica,Anacardiaceae,mango,Mangoes,mango,fruit,24,30,8,48,600,1500,300,2600,0,150,365,,0
1420,cassava,Cassava,Manihot,Manihot esculenta,Euphorbiaceae,cassava,Cassava,cassava,roots and tubers,20,29,10,35,1000,1500,500,5000,0,180,365,,0
1514,nutmeg,Nutmeg,Myristica,Myristica fragrans,Myristicaceae,nutmeg,nutmeg and mace and cardamons,nutmeg,other,22,34,12,38,1500,3500,1200,4000,0,365,365,,0
1553,olive,"Olive, Europaen",Olea,Olea europaea,Oleaceae,olive,Olives,olive,oil crops,20,34,5,40,400,700,200,1200,0,365,365,,0
1574,rice,Rice,Oryza,Oryza sativa,Gramineae,rice,Rice,rice,cereals,20,30,10,36,1500,2000,1000,4000,0,80,180,,1
1668,bean,Bean,Phaseolus,Phaseolus vulgaris,,bean,Bean,common bean,pulses,16,25,7,32,500,2000,300,4300,0,50,270,,1
1689,pimento,Pimento,Pimenta,Pimenta dioica,Myrtaceae,pimento,Pimento,allspice,other,15,32,10,35,1500,2500,1000,3500,0,150,365,,0
