"x","y","crop"
32.0408185,0.958689499999991,"bean"
-76.0420825,2.45868349999999,"bean"
79.2906295,10.7086505,"bean"
72.2073245,25.0419265,"bean"
86.9572655,26.3752545,"bean"
-51.8755125,-23.2912135,"bean"
-103.2086405,23.8752645,"bean"
94.4572355,26.6252535,"bean"
95.8738965,22.7086025,"bean"
95.8738965,22.8752685,"bean"
-49.7921875,-25.6245375,"bean"
126.4571075,38.5418725,"bean"
96.7905595,18.0419545,"bean"
-64.9587935,-24.3745425,"bean"
73.3739865,26.6252535,"bean"
16.7075465,-11.5412605,"bean"
74.2906495,28.0419145,"bean"
96.0405625,21.1252755,"bean"
-86.7087065,13.7086385,"bean"
13.6242255,-15.0412465,"bean"
72.4573235,26.3752545,"bean"
30.0408265,-2.8746285,"bean"
-104.1253035,24.2085965,"bean"
-37.7089025,-9.2079365,"bean"
35.2908055,-4.2912895,"bean"
10.3742385,6.2920015,"bean"
82.2906175,17.2919575,"bean"
74.5406485,28.2919135,"bean"
-40.4588915,-4.2912895,"bean"
85.2906055,19.9586135,"bean"
94.8739005,20.9586095,"bean"
76.2073085,15.4586315,"bean"
-47.2921975,-16.2912415,"bean"
76.8739725,16.6252935,"bean"
72.1239915,25.1252595,"bean"
33.4574795,-15.8745765,"bean"
73.7073185,28.7085785,"bean"
85.9572695,25.7919235,"bean"
35.6241375,-0.124639500000001,"bean"
32.4574835,2.45868349999999,"bean"
31.7074865,2.9586815,"bean"
14.4575555,-13.0412545,"bean"
75.7073105,19.9586135,"bean"
86.3739345,20.0419465,"bean"
78.5406325,18.0419545,"bean"
37.1241315,-3.2079605,"bean"
121.7904595,31.7918995,"bean"
79.2906295,25.7085905,"bean"
76.2073085,12.2086445,"bean"
69.2906695,22.8752685,"bean"
-39.3755625,-4.7079545,"bean"
94.1239035,22.7919355,"bean"
69.5406685,23.4585995,"bean"
33.8741445,-10.0412665,"bean"
32.4574835,-2.62462950000001,"bean"
-40.9588895,-6.87461250000001,"bean"
-2.45904349999998,9.8753205,"bean"
-86.5420405,13.2919735,"bean"
75.8739765,20.0419465,"bean"
-49.7921875,-24.7912075,"bean"
-86.6253735,13.1253075,"bean"
87.5405965,26.1252555,"bean"
32.0408185,-15.8745765,"bean"
83.6239455,18.4586195,"bean"
-39.2088965,-12.0412585,"bean"
31.6241535,-1.3746345,"bean"
70.8739965,25.4585915,"bean"
37.3741305,-1.12463550000001,"bean"
35.4574715,-0.124639500000001,"bean"
-35.7089105,-7.4579435,"bean"
76.0406425,12.3753105,"bean"
0.1242795,10.7086505,"bean"
34.4574755,0.292025499999994,"bean"
28.7074985,-2.8746285,"bean"
34.2908095,-15.6245775,"bean"
71.1239955,24.7919275,"bean"
75.6239775,16.2919615,"bean"
-103.6253055,23.7085985,"bean"
-105.6252975,25.2919255,"bean"
-91.8753525,15.7086305,"bean"
29.8741605,-3.54129250000001,"bean"
76.2906415,15.7086305,"bean"
76.1239755,27.2085845,"bean"
74.1239835,28.0419145,"bean"
94.8739005,21.6252735,"bean"
37.8741285,0.4586915,"bean"
37.0407985,-1.0413025,"bean"
112.1238315,-7.79127550000001,"bean"
-89.4586955,14.1253035,"bean"
74.9573135,15.2919655,"bean"
94.7905675,20.7086105,"bean"
29.7908275,-1.7079665,"bean"
95.7905635,22.2086045,"bean"
