"id","old_id","provider_institute_id","source","final_origin_stat","taxon_final","f_x1_family","f_x1_genus","f_x1_sp1","f_x1_rank1","f_x1_sp2","f_x1_rank2","f_x1_sp3","final_country","final_iso2","final_lat","final_lon","hascoord","concept_type","concept_level","Crop_Common_Name"
10174876,"208192193","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-15.83","-74.25","YES","Gene Pool","Secondary","Sweet potato"
10174877,"208192194","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-15.83","-74.25","YES","Gene Pool","Secondary","Sweet potato"
10174878,"208192195","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-15.83","-74.25","YES","Gene Pool","Secondary","Sweet potato"
10174879,"208192196","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-15.83","-74.25","YES","Gene Pool","Secondary","Sweet potato"
10174880,"208192197","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-15.83","-74.25","YES","Gene Pool","Secondary","Sweet potato"
10174881,"208192198","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-18.16","-70.25","YES","Gene Pool","Secondary","Sweet potato"
10174882,"208192199","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-18.16","-70.25","YES","Gene Pool","Secondary","Sweet potato"
10174883,"208192200","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-18.16","-70.25","YES","Gene Pool","Secondary","Sweet potato"
10174884,"208192201","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-18.25","-70.33","YES","Gene Pool","Secondary","Sweet potato"
10174885,"208192202","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-18.25","-70.33","YES","Gene Pool","Secondary","Sweet potato"
10174886,"208192203","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-18.25","-70.33","YES","Gene Pool","Secondary","Sweet potato"
10174887,"208192204","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-17.5","-70.5","YES","Gene Pool","Secondary","Sweet potato"
10174888,"208192205","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-17.5","-70.5","YES","Gene Pool","Secondary","Sweet potato"
10174889,"208192206","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-17.58","-70.96","YES","Gene Pool","Secondary","Sweet potato"
10174890,"208192207","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-17.58","-70.96","YES","Gene Pool","Secondary","Sweet potato"
10174891,"208192208","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-17.56","-70.96","YES","Gene Pool","Secondary","Sweet potato"
10174892,"208192209","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-17.25","-70.95","YES","Gene Pool","Secondary","Sweet potato"
10174893,"208192210","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-17.25","-70.95","YES","Gene Pool","Secondary","Sweet potato"
10174894,"208192211","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-17.08","-71.83","YES","Gene Pool","Secondary","Sweet potato"
10174895,"208192212","ITA303","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Peru","PE","-17.08","-71.83","YES","Gene Pool","Secondary","Sweet potato"
