"id","old_id","provider_institute_id","source","final_origin_stat","taxon_final","f_x1_family","f_x1_genus","f_x1_sp1","f_x1_rank1","f_x1_sp2","f_x1_rank2","f_x1_sp3","final_country","final_iso2","final_lat","final_lon","hascoord","concept_type","concept_level","Crop_Common_Name"
165225,"2","Bioversity","G","native","Cajanus_acutifolius","Fabaceae","Cajanus","acutifolius","\N","\N","\N","\N","Australia","AU","-20.1106","139.6475","YES","Gene Pool","Secondary","Pigeonpea"
165229,"6","Bioversity","G","native","Cajanus_acutifolius","Fabaceae","Cajanus","acutifolius","\N","\N","\N","\N","Australia","AU","-20.8125","139.9179","YES","Gene Pool","Secondary","Pigeonpea"
165232,"9","Bioversity","G","native","Cajanus_acutifolius","Fabaceae","Cajanus","acutifolius","\N","\N","\N","\N","Australia","AU","-20.4106","144.4363","YES","Gene Pool","Secondary","Pigeonpea"
165237,"14","Bioversity","G","native","Cajanus_scarabaeoides","Fabaceae","Cajanus","scarabaeoides","\N","\N","\N","\N","Australia","AU","-20.2644","146.181","YES","Gene Pool","Secondary","Pigeonpea"
165241,"18","Bioversity","G","native","Cajanus_reticulatus","Fabaceae","Cajanus","reticulatus","\N","\N","\N","\N","Australia","AU","-19.8331","146.6972","YES","Gene Pool","Secondary","Pigeonpea"
165242,"19","Bioversity","G","native","Cajanus_reticulatus","Fabaceae","Cajanus","reticulatus","\N","\N","\N","\N","Australia","AU","-19.8128","146.8139","YES","Gene Pool","Secondary","Pigeonpea"
165244,"21","Bioversity","G","native","Cajanus_confertiflorus","Fabaceae","Cajanus","confertiflorus","\N","\N","\N","\N","Australia","AU","-19.3437","146.7818","YES","Gene Pool","Secondary","Pigeonpea"
165250,"27","Bioversity","G","native","Cajanus_reticulatus","Fabaceae","Cajanus","reticulatus","\N","\N","\N","\N","Australia","AU","-20.3078","147.2776","YES","Gene Pool","Secondary","Pigeonpea"
165252,"29","Bioversity","G","native","Cajanus_reticulatus","Fabaceae","Cajanus","reticulatus","\N","\N","\N","\N","Australia","AU","-24.321","150.6981","YES","Gene Pool","Secondary","Pigeonpea"
165270,"47","Bioversity","G","native","Cajanus_latisepalus","Fabaceae","Cajanus","latisepalus","\N","\N","\N","\N","Australia","AU","-16.0999","129.3618","YES","Gene Pool","Secondary","Pigeonpea"
167244,"2021","Bioversity","G","\N","Cajanus_scarabaeoides","Fabaceae","Cajanus","scarabaeoides","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Pigeonpea"
