"id","old_id","provider_institute_id","source","final_origin_stat","taxon_final","f_x1_family","f_x1_genus","f_x1_sp1","f_x1_rank1","f_x1_sp2","f_x1_rank2","f_x1_sp3","final_country","final_iso2","final_lat","final_lon","hascoord","concept_type","concept_level","Crop_Common_Name"
599727,"114568","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Syria","SY","36.220001","37.16","YES","Gene Pool","Tertiary","Chickpea"
599728,"114569","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.5","40.880001","YES","Gene Pool","Tertiary","Chickpea"
599729,"114570","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","38.130001","39.98","YES","Gene Pool","Tertiary","Chickpea"
599730,"114606","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Syria","SY","36.46667","37","YES","Gene Pool","Tertiary","Chickpea"
599731,"114607","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.05","37.33333","YES","Gene Pool","Tertiary","Chickpea"
599732,"114623","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.91667","40.13333","YES","Gene Pool","Tertiary","Chickpea"
599733,"114629","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","38","40.33333","YES","Gene Pool","Tertiary","Chickpea"
599734,"114563","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.933333","42.333333","YES","Gene Pool","Tertiary","Chickpea"
599735,"114564","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41.016667","YES","Gene Pool","Tertiary","Chickpea"
599736,"114565","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599737,"114566","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","38.116667","40","YES","Gene Pool","Tertiary","Chickpea"
599738,"114567","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41.05","YES","Gene Pool","Tertiary","Chickpea"
599739,"114571","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Syria","SY","32.65","36.800383","YES","Gene Pool","Tertiary","Chickpea"
599740,"114572","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Syria","SY","32.7","36.794567","YES","Gene Pool","Tertiary","Chickpea"
599741,"114573","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Syria","SY","32.7125","36.783333","YES","Gene Pool","Tertiary","Chickpea"
599742,"114574","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Syria","SY","32.8","36.570167","YES","Gene Pool","Tertiary","Chickpea"
599743,"114575","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Syria","SY","36.463889","37","YES","Gene Pool","Tertiary","Chickpea"
599744,"114576","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Syria","SY","36.463889","37","YES","Gene Pool","Tertiary","Chickpea"
599745,"114577","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Syria","SY","36.463889","37","YES","Gene Pool","Tertiary","Chickpea"
599746,"114578","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Syria","SY","36.475","36.991667","YES","Gene Pool","Tertiary","Chickpea"
599747,"114579","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.05","37.333333","YES","Gene Pool","Tertiary","Chickpea"
599748,"114580","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.05","38.4","YES","Gene Pool","Tertiary","Chickpea"
599749,"114581","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.233333","39.266667","YES","Gene Pool","Tertiary","Chickpea"
599750,"114582","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.333333","39.366667","YES","Gene Pool","Tertiary","Chickpea"
599751,"114583","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599752,"114584","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599753,"114585","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599754,"114586","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599755,"114587","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599756,"114588","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599757,"114589","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599758,"114590","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599759,"114591","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599760,"114592","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599761,"114593","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599762,"114594","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599763,"114595","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599764,"114596","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599765,"114597","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599766,"114598","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599767,"114599","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.55","41","YES","Gene Pool","Tertiary","Chickpea"
599768,"114600","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","38.116667","40","YES","Gene Pool","Tertiary","Chickpea"
599769,"114601","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","38.116667","40","YES","Gene Pool","Tertiary","Chickpea"
599770,"114602","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","38.116667","40","YES","Gene Pool","Tertiary","Chickpea"
599771,"114603","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","38.116667","40","YES","Gene Pool","Tertiary","Chickpea"
599772,"114604","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","38.116667","40","YES","Gene Pool","Tertiary","Chickpea"
599773,"114624","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","37.983333","40.166667","YES","Gene Pool","Tertiary","Chickpea"
599774,"114625","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","38","40.333333","YES","Gene Pool","Tertiary","Chickpea"
599775,"114626","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","38","40.333333","YES","Gene Pool","Tertiary","Chickpea"
599776,"114627","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","38","40.333333","YES","Gene Pool","Tertiary","Chickpea"
599777,"114628","Bioversity-SINGER","G","native","Cicer_bijugum","Fabaceae","Cicer","bijugum","\N","\N","\N","\N","Turkey","TR","38","40.333333","YES","Gene Pool","Tertiary","Chickpea"
