"id","old_id","provider_institute_id","source","final_origin_stat","taxon_final","f_x1_family","f_x1_genus","f_x1_sp1","f_x1_rank1","f_x1_sp2","f_x1_rank2","f_x1_sp3","final_country","final_iso2","final_lat","final_lon","hascoord","concept_type","concept_level","Crop_Common_Name"
143101,"37472","Bioversity","G","native","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","Colombia","CO","\N","\N","NO","Gene Pool","Secondary","Common bean"
165618,"395","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","Mexico","MX","18.88","-96.93","YES","Gene Pool","Tertiary","Common bean"
165619,"396","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","Slovakia","SK","\N","\N","NO","Gene Pool","Tertiary","Common bean"
165650,"427","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
165904,"681","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
168314,"3091","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
168966,"3743","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
168967,"3744","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
168968,"3745","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
168969,"3746","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
169595,"4372","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
169596,"4373","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
169597,"4374","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
169598,"4375","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
169599,"4376","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
169600,"4377","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
169601,"4378","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
169603,"4380","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
169605,"4382","Bioversity","G","native","Phaseolus_vulgaris_var._aborigineus","Fabaceae","Phaseolus","vulgaris","var.","aborigineus","\N","\N","Mexico","MX","24.1667","-104.6833","YES","Gene Pool","Primary","Common bean"
169609,"4386","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
169613,"4390","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
169614,"4391","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
169615,"4392","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
169799,"4576","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
171804,"6581","Bioversity","G","native","Phaseolus_filiformis","Fabaceae","Phaseolus","filiformis","\N","\N","\N","\N","Mexico","MX","28.6","-114.08","YES","Gene Pool","Tertiary","Common bean"
171806,"6583","Bioversity","G","\N","Phaseolus_filiformis","Fabaceae","Phaseolus","filiformis","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
171807,"6584","Bioversity","G","\N","Phaseolus_angustissimus","Fabaceae","Phaseolus","angustissimus","\N","\N","\N","\N","United States","US","31.47","-111.23","YES","Gene Pool","Tertiary","Common bean"
171808,"6585","Bioversity","G","\N","Phaseolus_filiformis","Fabaceae","Phaseolus","filiformis","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
171809,"6586","Bioversity","G","\N","Phaseolus_filiformis","Fabaceae","Phaseolus","filiformis","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
175205,"9982","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
175368,"10145","Bioversity","G","native","Phaseolus_filiformis","Fabaceae","Phaseolus","filiformis","\N","\N","\N","\N","Mexico","MX","26.03","-111.42","YES","Gene Pool","Tertiary","Common bean"
175427,"10204","Bioversity","G","\N","Phaseolus_filiformis","Fabaceae","Phaseolus","filiformis","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
175430,"10207","Bioversity","G","native","Phaseolus_filiformis","Fabaceae","Phaseolus","filiformis","\N","\N","\N","\N","Mexico","MX","23.5","-109.67","YES","Gene Pool","Tertiary","Common bean"
175432,"10209","Bioversity","G","native","Phaseolus_filiformis","Fabaceae","Phaseolus","filiformis","\N","\N","\N","\N","Mexico","MX","23.67","-109.75","YES","Gene Pool","Tertiary","Common bean"
177183,"11960","Bioversity","G","\N","Phaseolus_vulgaris_var._aborigineus","Fabaceae","Phaseolus","vulgaris","var.","aborigineus","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Common bean"
181956,"16733","Bioversity","G","\N","Phaseolus_dumosus","Fabaceae","Phaseolus","dumosus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182305,"17082","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182357,"17134","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182358,"17135","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182359,"17136","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182360,"17137","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182361,"17138","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182362,"17139","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182363,"17140","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182364,"17141","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182365,"17142","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182366,"17143","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182368,"17145","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182369,"17146","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182370,"17147","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182371,"17148","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182372,"17149","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182373,"17150","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182374,"17151","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182375,"17152","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182376,"17153","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182377,"17154","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182378,"17155","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182379,"17156","Bioversity","G","\N","Phaseolus_coccineus","Fabaceae","Phaseolus","coccineus","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Common bean"
182460,"17237","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
182461,"17238","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
182462,"17239","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
182463,"17240","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
182465,"17242","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
182466,"17243","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
182467,"17244","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
182468,"17245","Bioversity","G","\N","Phaseolus_acutifolius","Fabaceae","Phaseolus","acutifolius","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Common bean"
